configuration_path,shape_and_values,optional,constraints,source
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.user,"{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L97
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.user_id,"{""anyOf"":[{""maximum"":2147483647,""minimum"":-2147483648,""type"":""integer""},{""items"":{""maximum"":2147483647,""minimum"":-2147483648,""type"":""integer""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L98
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.wifi_bssid,"{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L105
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.wifi_ssid,"{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L104
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:1} (DNSRuleAction){oneOf:0}.action,"{""enum"":["""",""route""]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/dns.go#L23
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:1} (DNSRuleAction){oneOf:0}.client_subnet,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_action.go#L194
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:1} (DNSRuleAction){oneOf:0}.disable_cache,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_action.go#L192
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:1} (DNSRuleAction){oneOf:0}.rewrite_ttl,"{""maximum"":4294967295,""minimum"":0,""type"":""integer""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_action.go#L193
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:1} (DNSRuleAction){oneOf:0}.server,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_action.go#L190
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:1} (DNSRuleAction){oneOf:0}.strategy,"{""$ref"":""#/$defs/DomainStrategy""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_action.go#L191
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:1} (DNSRuleAction){oneOf:1}.action,"{""const"":""route-options""}",no in this branch,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/dns.go#L23
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:1} (DNSRuleAction){oneOf:1}.client_subnet,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_action.go#L201
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:1} (DNSRuleAction){oneOf:1}.disable_cache,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_action.go#L199
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:1} (DNSRuleAction){oneOf:1}.rewrite_ttl,"{""maximum"":4294967295,""minimum"":0,""type"":""integer""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_action.go#L200
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:1} (DNSRuleAction){oneOf:1}.strategy,"{""$ref"":""#/$defs/DomainStrategy""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_action.go#L198
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:1} (DNSRuleAction){oneOf:2}.action,"{""const"":""reject""}",no in this branch," Parent forbids: {""properties"":{""method"":{""const"":""drop""},""no_drop"":{""const"":true}},""required"":[""method"",""no_drop""]}",https://github.com/SagerNet/sing-box/blob/v1.13.21/option/dns.go#L23
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:1} (DNSRuleAction){oneOf:2}.method,"{""enum"":["""",""default"",""drop"",""reply""],""type"":""string""}",yes; conditional core requirements still apply," Parent forbids: {""properties"":{""method"":{""const"":""drop""},""no_drop"":{""const"":true}},""required"":[""method"",""no_drop""]}",https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_action.go#L271
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:1} (DNSRuleAction){oneOf:2}.no_drop,"{""type"":""boolean""}",yes; conditional core requirements still apply," Parent forbids: {""properties"":{""method"":{""const"":""drop""},""no_drop"":{""const"":true}},""required"":[""method"",""no_drop""]}",https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_action.go#L272
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:1} (DNSRuleAction){oneOf:3}.action,"{""const"":""predefined""}",no in this branch,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/dns.go#L23
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:1} (DNSRuleAction){oneOf:3}.answer,"{""anyOf"":[{""$ref"":""#/$defs/DNSRecordOptions""},{""items"":{""$ref"":""#/$defs/DNSRecordOptions""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_action.go#L319
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:1} (DNSRuleAction){oneOf:3}.extra,"{""anyOf"":[{""$ref"":""#/$defs/DNSRecordOptions""},{""items"":{""$ref"":""#/$defs/DNSRecordOptions""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_action.go#L321
